MOHICANO       ;;ESTADO DE PERDIDA Y GANANCIA ACUMULADO PERIODO 2026;
;
;LIN;ESTADO DE RESULTADO;ENERO     ;FEBRERO   ;MARZO     ;ABRIL     ;MAYO      ;JUNIO     ;JULIO     ;AGOSTO    ;SEPTIEMBRE;OCTUBRE   ;NOVIEMBRE ;DICIEMBRE ;ACUMULADO
;CUENTA;NOMBRE DE LA CUENTA;
;
;01;INGRESOS DE LA EXPLOTACION              ;55250175;132230937;219871379;184114530;108985312;0;0;0;0;0;0;0;700452333
;410101   ;Ventas por Mayor                        ;35914047;110104807;197563055;191502617;82825241;0;0;0;0;0;0;0;
;410102   ;Ventas al Detalle                       ;4343170;4280650;6978874;10844968;9187135;0;0;0;0;0;0;0;
;410103   ;Servicios de Lavanderia                 ;838950;1668720;1440780;3709706;166399;0;0;0;0;0;0;0;
;410104   ;Venta Magic World                       ;0;0;3747813;-500000;0;0;0;0;0;0;0;0;
;410105   ;VENTAS FC/MANUAL TDF                    ;14154008;16176760;10140857;-21442761;16806537;0;0;0;0;0;0;0;

;02;COSTO DE LA EXPLOTACION                 ;148923086;21662322;72679017;104569746;77473665;0;0;0;0;0;0;0;425307836
;520101   ;Insumos                                 ;1854800;4740041;9490575;10442228;10844310;0;0;0;0;0;0;0;
;520102   ;Elementos-Herram.Trabajo                ;0;0;0;0;8320;0;0;0;0;0;0;0;
;520103   ;Costos de Producción                    ;144426652;15883000;61753076;91362053;64736904;0;0;0;0;0;0;0;
;520105   ;Repuestos-Mantención Maquinaria         ;659096;123750;804393;1477500;203529;0;0;0;0;0;0;0;
;520106   ;Gastos de Diseńo (Modelista)            ;0;275000;0;0;0;0;0;0;0;0;0;0;
;520108   ;Servicio Externo                        ;1982538;640531;630973;1287965;1623080;0;0;0;0;0;0;0;
;520114   ;Gastos de Planchado                     ;0;0;0;0;57522;0;0;0;0;0;0;0;

;
;03;MARGEN DE LA EXPLOTACION                ;-93672911;110568615;147192362;79544784;31511647;0;0;0;0;0;0;0;275144497

;
;04;GASTOS DE ADMINISTRACION                ;101013485;74862472;77776667;81168657;54295192;2954486;0;0;0;0;0;0;392070959
;520104   ;Gastos Flete Aereo y Terreste Nac. e Int;5248910;5861297;5795880;6554291;5911951;0;0;0;0;0;0;0;
;520112   ;Otros Gastos                            ;1900;0;13174;0;0;0;0;0;0;0;0;0;
;520202   ;Seguridad y Monitoreo                   ;1075379;1075512;1024900;1026497;588235;0;0;0;0;0;0;0;
;520203   ;Insumos Computacioneles-Tecnologiicos   ;75000;33605;53175;520317;705849;0;0;0;0;0;0;0;
;520205   ;Asesorías Servicios de Contabilidad     ;783750;783750;783750;1567500;783750;0;0;0;0;0;0;0;
;520206   ;Asesorías Legales                       ;834303;756303;756303;756303;784286;0;0;0;0;0;0;0;
;520207   ;Asesorías y Serv. Informáticos          ;899777;1124073;774245;578624;980291;0;0;0;0;0;0;0;
;520208   ;Asesorías Comerciales e Inversión       ;297183;297051;312960;328581;329763;0;0;0;0;0;0;0;
;520209   ;Correspondencia                         ;4740;0;7800;21484;0;0;0;0;0;0;0;0;
;520210   ;Gastos Agua                             ;730935;254416;1358752;554498;691198;523684;0;0;0;0;0;0;
;520211   ;Gastos Electricidad                     ;1411055;1125840;1917301;1665149;703573;0;0;0;0;0;0;0;
;520212   ;Gastos Gas                              ;1292611;490052;627047;980456;1113087;0;0;0;0;0;0;0;
;520214   ;Aporte AFP Empleador                    ;30686;29521;24929;25182;24223;0;0;0;0;0;0;0;
;520216   ;Seguro Instalaciones                    ;121391;6655234;6518125;3643726;3444326;0;0;0;0;0;0;0;
;520217   ;Insumos de Aseo                         ;82650;110511;154990;282034;71934;63570;0;0;0;0;0;0;
;520218   ;Insumos de Oficina-Escritorio           ;24080;75629;83505;16639;148053;4590;0;0;0;0;0;0;
;520224   ;Gastos de Importación                   ;47036;645122;1811965;151912;89603;0;0;0;0;0;0;0;
;520226   ;Gastos de Imprenta                      ;48000;0;0;48000;0;0;0;0;0;0;0;0;
;520228   ;Gastos Mantención Inmueble              ;74853;2350493;1560671;-17815;34992;0;0;0;0;0;0;0;
;520242   ;Otros Gastos de Adminitración           ;306383;29328;45608;339141;206101;9480;0;0;0;0;0;0;
;520248   ;Peajes y Estacionamiento                ;550;0;9920;4320;1350;5150;0;0;0;0;0;0;
;520253   ;GASTO FESTIVIDADES                      ;0;0;0;214277;0;0;0;0;0;0;0;0;
;520258   ;Otros Gastos de Adm. y Venta            ;177600;15000;0;0;0;0;0;0;0;0;0;0;
;520262   ;Devolución Mercaderia Cliente           ;43429;12605;0;25210;9850;0;0;0;0;0;0;0;
;520263   ;Seguro Acc. Personales                  ;37389;0;0;0;0;0;0;0;0;0;0;0;
;520266   ;Otros Gastos                            ;61571;0;88790;210840;95884;0;0;0;0;0;0;0;
;520268   ;Gastos x Seguridad Trabajadores         ;0;15248;0;0;8319;0;0;0;0;0;0;0;
;520269   ;Gastos Software y Licencia              ;0;0;0;0;50303;0;0;0;0;0;0;0;
;520301   ;Gastos Legales                          ;0;0;49200;71600;2300;0;0;0;0;0;0;0;
;520304   ;Derechos de Marca                       ;670;0;29970;0;0;0;0;0;0;0;0;0;
;520403   ;Anfitrionas y Modelos                   ;712447;0;100295;58997;395280;0;0;0;0;0;0;0;
;520407   ;Asesoria Informática, Digital, otros    ;0;0;0;0;29750;0;0;0;0;0;0;0;
;520414   ;Asesorias Informatica IA                ;0;0;0;0;30000;0;0;0;0;0;0;0;
;520415   ;Marketing Otros                         ;0;0;321606;0;0;0;0;0;0;0;0;0;
;520501   ;Sueldos                                 ;27800257;30687369;22060401;22405891;22027973;0;0;0;0;0;0;0;
;520503   ;Mutual de Seguridad                     ;1174107;1124903;969411;978550;946807;0;0;0;0;0;0;0;
;520504   ;Bonos                                   ;1315268;1541304;1612131;1728601;1270293;0;0;0;0;0;0;0;
;520506   ;Finiquitos                              ;7347905;0;2510690;3000000;1000000;1000000;0;0;0;0;0;0;
;520507   ;Cesantia Empleador                      ;583703;571266;473038;478200;457168;0;0;0;0;0;0;0;
;520508   ;SIS Empleador                           ;487546;459178;385694;408839;399515;0;0;0;0;0;0;0;
;520509   ;SEGURO SOCIAL: Aporte FAPP              ;284929;268351;225408;227133;221954;0;0;0;0;0;0;0;
;520510   ;Gratificación                           ;5666140;5376694;4786603;4770448;4736669;0;0;0;0;0;0;0;
;520601   ;Honorarios Varios                       ;0;0;0;129794;825565;0;0;0;0;0;0;0;
;520602   ;Servicios Administrativos               ;0;0;589971;829889;589971;0;0;0;0;0;0;0;
;520604   ;HONOR. PRACTICA PROFESIONAL             ;0;0;0;643154;355189;0;0;0;0;0;0;0;
;520701   ;Arriendos                               ;38600000;10000000;17348210;23251790;1300000;1300000;0;0;0;0;0;0;
;520802   ;Telefonía Móvil                         ;413172;120728;120391;121088;120860;0;0;0;0;0;0;0;
;520803   ;Internet                                ;182373;164170;157493;172264;162398;0;0;0;0;0;0;0;
;520902   ;Hoteles (Alojamiento)                   ;173090;316512;0;0;277143;0;0;0;0;0;0;0;
;520903   ;Viáticos                                ;71599;38120;54813;65679;343709;33712;0;0;0;0;0;0;
;520904   ;Movilización, Traslado de Vehiculo      ;995357;1001791;945208;964257;949774;1950;0;0;0;0;0;0;
;520905   ;Colación y Almuerzos                    ;1399064;1441810;1073059;1133049;995644;12350;0;0;0;0;0;0;
;530205   ;Iva Fuera de Plazo                      ;94697;9686;239285;49474;80309;0;0;0;0;0;0;0;
;530207   ;Sobretasa Bienes Raices                 ;0;0;0;182794;0;0;0;0;0;0;0;0;

;05;GASTOS DE VENTAS                        ;2310213;1536944;2897933;1736079;1927359;8000;0;0;0;0;0;0;10416528
;520219   ;Insumos de Ventas                       ;0;0;0;0;0;8000;0;0;0;0;0;0;
;520222   ;Comisiones Transbank                    ;196291;187457;161872;199342;242932;0;0;0;0;0;0;0;
;520236   ;Arriendo Vehiculo                       ;151733;490682;92183;103618;0;0;0;0;0;0;0;0;
;520261   ;Despachos-Fletes                        ;94909;78118;587991;104395;197667;0;0;0;0;0;0;0;
;520272   ;Licencia Shopify Sta. Filomena          ;0;0;29931;0;0;0;0;0;0;0;0;0;
;520291   ;Gto.Materiales e Insumos Bodega SG      ;421500;0;1222980;66920;696415;0;0;0;0;0;0;0;
;520401   ;Publicidad                              ;250000;0;0;0;0;0;0;0;0;0;0;0;
;520402   ;Marketing                               ;0;25825;0;15620;55760;0;0;0;0;0;0;0;
;520405   ;Evento Promoción Marketing              ;0;0;0;481442;0;0;0;0;0;0;0;0;
;520408   ;FOTOGRAFO                               ;294985;0;0;117994;176991;0;0;0;0;0;0;0;
;520411   ;LIVE Y CREADORES DE CONTENIDO           ;353982;0;165192;129794;0;0;0;0;0;0;0;0;
;520505   ;Comisión Vendedor Sala Venta Sdo.       ;243689;199089;244186;119713;262953;0;0;0;0;0;0;0;
;520512   ;Horas Extras                            ;303124;555773;393598;397241;294641;0;0;0;0;0;0;0;

;06;PATENTES E IMPUESTOS                    ;0;0;0;2754523;0;0;0;0;0;0;0;0;2754523
;520305   ;Contribuciones                          ;0;0;0;2754523;0;0;0;0;0;0;0;0;

;07;DEPRECIACIONES                          ;0;0;0;0;0;0;0;0;0;0;0;0;0

;08;OTROS                                   ;0;0;0;0;0;0;0;0;0;0;0;0;0

;
;09;RESULTADO OPERACIONAL                   ;-196996609;34169199;66517762;-6114475;-24710904;-2962486;0;0;0;0;0;0;-130097513

;
;10;INGRESOS FINANCIEROS                    ;0;23489;0;0;397991;0;0;0;0;0;0;0;421480
;420101   ;Reajuste de Impuestos                   ;0;-23489;0;0;-397991;0;0;0;0;0;0;0;

;11;GASTOS FINANCIEROS                      ;190607;128918;854850;292940;181902;14630;0;0;0;0;0;0;1663847
;520302   ;Gastos Bancarios                        ;293284;128918;831210;292940;171127;14630;0;0;0;0;0;0;
;530101   ;Intereses-Imptos. bancarios             ;251;0;0;0;883;0;0;0;0;0;0;0;
;530103   ;Diferencia Tipo de Cambio (Redondeo)    ;-102928;0;23640;0;9892;0;0;0;0;0;0;0;

;12;DIFERENCIAS DE CAMBIO                   ;0;0;0;0;0;0;0;0;0;0;0;0;0

;13;INGRESOS FUERA DE EXPLOTACION           ;15666626;15359104;8322605;97288968;14969818;1827771;0;0;0;0;0;0;153434892
;410106   ;OTRAS VENTAS                            ;0;0;0;-40885872;0;0;0;0;0;0;0;0;
;420104   ;Otros ingresos no operacionales         ;-15666626;-15359104;-8322605;-56403096;-14969818;-1827771;0;0;0;0;0;0;

;14;EGRESOS FUERA DE EXPLOTACION            ;2408;4865;2068;1609;600;4;0;0;0;0;0;0;11554
;530304   ;Otros Egresos                           ;2408;4865;2068;1609;600;4;0;0;0;0;0;0;

;
;15;RESULTADO NO OPERACIONAL                ;15473611;15248810;7465687;96994419;15185307;1813137;0;0;0;0;0;0;152180971

;
;16;RESULTADO ANTES CORRECCION MONETARIA    ;-181522998;49418009;73983449;90879944;-9525597;-1149349;0;0;0;0;0;0;22083458

;17;CORRECCION MONETARIA                    ;0;0;0;0;0;0;0;0;0;0;0;0;0

;
;18;UTILIDADES ANTES DE IMPUESTOS           ;-181522998;49418009;73983449;90879944;-9525597;-1149349;0;0;0;0;0;0;22083458

;19;IMPUESTOS RENTA 1ra. CATEGORIA          ;0;0;0;0;0;0;0;0;0;0;0;0;0

;
;20;UTILIDAD / PERDIDA DEL EJERCICIO        ;-181522998;49418009;73983449;90879944;-9525597;-1149349;0;0;0;0;0;0;22083458

